id,emotion
c225.jpg,5.0
c167.jpg,5.0
c189.jpg,6.0
c84.jpg,8.0
c258.jpg,8.0
c201.jpg,6.0
c3.jpg,6.0
c74.jpg,8.0
c64.jpg,6.0
c34.jpg,6.0
c242.jpg,6.0
c105.jpg,6.0
c155.jpg,6.0
c10.jpg,6.0
c22.jpg,6.0
c11.jpg,6.0
c15.jpg,6.0
c191.jpg,6.0
c75.jpg,8.0
c232.jpg,6.0
c42.jpg,6.0
c69.jpg,6.0
c228.jpg,6.0
c197.jpg,6.0
c177.jpg,6.0
c18.jpg,6.0
c160.jpg,6.0
c32.jpg,5.0
c67.jpg,6.0
c116.jpg,6.0
c203.jpg,8.0
c72.jpg,8.0
c16.jpg,6.0
c187.jpg,6.0
c200.jpg,6.0
c145.jpg,8.0
c103.jpg,6.0
c209.jpg,6.0
c231.jpg,8.0
c4.jpg,6.0
c262.jpg,5.0
c190.jpg,6.0
c208.jpg,6.0
c206.jpg,6.0
c80.jpg,6.0
c148.jpg,6.0
c31.jpg,5.0
c188.jpg,6.0
c164.jpg,6.0
c8.jpg,6.0
c70.jpg,5.0
c110.jpg,6.0
c124.jpg,6.0
c30.jpg,5.0
c28.jpg,6.0
c104.jpg,6.0
c230.jpg,6.0
c33.jpg,6.0
c29.jpg,6.0
c216.jpg,6.0
c239.jpg,6.0
c71.jpg,5.0
c199.jpg,6.0
c89.jpg,6.0
c39.jpg,6.0
c259.jpg,8.0
c40.jpg,6.0
c27.jpg,6.0
c224.jpg,6.0
c14.jpg,6.0
c130.jpg,6.0
c168.jpg,5.0
c141.jpg,6.0
c223.jpg,6.0
