id,emotion
j36.jpg,5.0
j110.jpg,5.0
j76.jpg,5.0
j106.jpg,5.0
j33.jpg,5.0
j65.jpg,5.0
j125.jpg,5.0
j74.jpg,5.0
j107.jpg,5.0
j25.jpg,5.0
j0.jpg,5.0
j1.jpg,5.0
j140.jpg,5.0
j104.jpg,5.0
j97.jpg,5.0
j94.jpg,5.0
j75.jpg,5.0
j21.jpg,5.0
j116.jpg,5.0
j56.jpg,8.0
j72.jpg,5.0
j5.jpg,5.0
j43.jpg,5.0
j147.jpg,5.0
j47.jpg,5.0
j92.jpg,5.0
j27.jpg,5.0
j51.jpg,5.0
j132.jpg,5.0
j112.jpg,5.0
j73.jpg,5.0
j134.jpg,5.0
j80.jpg,8.0
j95.jpg,5.0
j61.jpg,5.0
j31.jpg,6.0
j146.jpg,5.0
j105.jpg,5.0
j23.jpg,5.0
j127.jpg,5.0
j17.jpg,5.0
j96.jpg,5.0
j62.jpg,5.0
j70.jpg,5.0
j102.jpg,5.0
j64.jpg,5.0
j77.jpg,5.0
j16.jpg,5.0
j100.jpg,5.0
j54.jpg,5.0
j45.jpg,5.0
j121.jpg,5.0
j144.jpg,5.0
j137.jpg,5.0
j81.jpg,8.0
j32.jpg,5.0
j90.jpg,5.0
j60.jpg,5.0
j84.jpg,5.0
j131.jpg,5.0
j120.jpg,5.0
j113.jpg,5.0
j13.jpg,5.0
j26.jpg,5.0
j3.jpg,5.0
j40.jpg,5.0
j130.jpg,6.0
j15.jpg,5.0
j34.jpg,5.0
j142.jpg,5.0
j12.jpg,5.0
j67.jpg,5.0
j101.jpg,5.0
