id,emotion
x191.jpg,5.0
x353.jpg,5.0
x163.jpg,6.0
x139.jpg,6.0
x196.jpg,5.0
x134.jpg,5.0
x214.jpg,5.0
x133.jpg,5.0
x48.jpg,5.0
x297.jpg,5.0
x140.jpg,8.0
x350.jpg,6.0
x349.jpg,6.0
x150.jpg,5.0
x285.jpg,6.0
x290.jpg,6.0
x303.jpg,5.0
x321.jpg,6.0
x318.jpg,6.0
x331.jpg,6.0
x314.jpg,5.0
x400.jpg,5.0
x323.jpg,5.0
x295.jpg,5.0
x92.jpg,5.0
x396.jpg,5.0
x141.jpg,7.0
x125.jpg,6.0
x359.jpg,6.0
x75.jpg,6.0
x178.jpg,5.0
x78.jpg,5.0
x206.jpg,5.0
x325.jpg,5.0
x51.jpg,7.0
x121.jpg,6.0
x245.jpg,6.0
x135.jpg,5.0
x66.jpg,6.0
x142.jpg,8.0
x33.jpg,6.0
x304.jpg,5.0
x175.jpg,5.0
x256.jpg,6.0
x34.jpg,5.0
x390.jpg,6.0
x21.jpg,1.0
x144.jpg,6.0
x45.jpg,6.0
x68.jpg,6.0
x338.jpg,6.0
x266.jpg,6.0
x22.jpg,6.0
x216.jpg,6.0
x339.jpg,6.0
x16.jpg,6.0
x401.jpg,7.0
x147.jpg,6.0
x153.jpg,6.0
x168.jpg,6.0
x363.jpg,5.0
x143.jpg,6.0
x74.jpg,5.0
x107.jpg,6.0
x149.jpg,6.0
x203.jpg,5.0
x240.jpg,5.0
x160.jpg,7.0
x55.jpg,6.0
x80.jpg,6.0
x336.jpg,6.0
x334.jpg,6.0
x386.jpg,6.0
